band_name,fans,formed,origin,split,style
Tears Of Martyr,11,1996,Spain,1996,Gothic
Tempel,11,2003,USA,,"Extreme progressive,Instrumental"
The Great Kat,11,1986,USA,1986,"Neoclassical heavy,Speed,Thrash"
Thunder,11,1989,United Kingdom,,Hard rock
Twilight Guardians,11,1996,Finland,1996,Power
Twilight Of The Gods,11,2010,,,Heavy
Vanguard,11,1999,Finland,1999,Gothic
Viking,11,1985,USA,,Thrash
Virgin Snatch,11,2001,Poland,2001,"Thrash,Groove thrash"
Weeping Birth,11,1999,Switzerland,,"Brutal death,Black"
With The Dead,11,2014,United Kingdom,2014,"Doom,Stoner"
Wolvhammer,11,2008,USA,,Blackened sludge
Zhrine,11,2015,Iceland,2015,Death
Zyklon-B,11,1995,Norway,1999,Black
Àrsaidh,10,2012,United Kingdom,2012,"Atmospheric black,Folk"
6:33,10,2010,France,,"Alternative,Avantgarde"
A Dream Of Poe,10,2005,"Portugal, United Kingdom",2005,"Doom,Gothic"
A Million Dead Birds Laughing,10,2008,Australia,,"Technical death,Grindcore"
Abattoir,10,1982,USA,1982,Speed
Abstract Spirit,10,2006,Russia,,Funeral doom
Adimiron,10,1999,Italy,1999,"Melodic death,Melodic black,Progressive death,Thrash"
After Oblivion,10,2007,Bosnia and Herzegovina,,Technical thrash
Against The Plagues,10,2005,USA,2005,"Symphonic black,Melodic death"
Alaskan,10,2008,Canada,,Sludge
Alpine Fault,10,2005,Australia,2005,Melodic progressive
Alunah,10,2006,United Kingdom,,"Doom,Stoner"
Andras,10,1994,Germany,1994,"Black,Pagan black"
Anomalie,10,2011,Austria,,"Black,Post-metal"
Atrocious Abnormality,10,2006,USA,2006,Brutal death
Autumn's Dawn,10,2013,Australia,,Depressive black
Betzefer,10,1997,Israel,1997,"Death,Sludge"
Blaakyum,10,1995,Lebanon,,"Doom,Thrash,Heavy,Progressive"
Brimstone Coven,10,2011,USA,2011,"Doom,Stoner rock"
Casketgarden,10,1998,Hungary,2012,Thrash
Catalepsia,10,2005,Latvia,2005,Gothic doom
Cautiva,10,2007,Spain,,"Thrash,Progressive"
Celestial Crown,10,1999,Estonia,1999,"Black,Gothic doom"
Cnoc An Tursa,10,2006,United Kingdom,,"Folk,Black"
Cult Of Herodias,10,2012,USA,2012,Doom
D'espairsRay,10,1999,Japan,2011,"Industrial,J rock"
Dark At Dawn,10,1993,Germany,1993,Power
Dawn Of Azazel,10,1997,New Zealand,,Death
Dawn Of Disease,10,2003,Germany,2003,Death
Dawnless,10,2003,Switzerland,,"Heavy,Power"
Death Fetishist,10,2015,USA,2015,Psychedelic black
Dee Snider,10,1997,USA,,Heavy
Defiled,10,1992,Japan,1992,Brutal death
Defleshed,10,1991,Sweden,2005,"Death,Thrash"
Demisery,10,2011,USA,2011,Death
Diathra,10,1995,Belarus,,"Doom,Gothic"
Diocletian,10,2004,New Zealand,2004,"Black,Death"
Disentomb,10,2009,Australia,,Brutal death
Disforia,10,2007,USA,2007,"Power,Progressive"
Disharmonic Orchestra,10,1987,Austria,,"Death,Grindcore,Avantgarde,Progressive"
Dissenter,10,1989,Poland,1989,Brutal death
Divine Empire,10,1997,USA,,"Death,Thrash"
Dreamaker,10,2003,Spain,2003,"Power,Thrash"
Dreaming Dead,10,2006,USA,,"Death,Thrash"
Dyrathor,10,2006,Germany,2006,Pagan folk
Dyscordia,10,2010,Belgium,,Progressive
Dysrhythmia,10,1998,USA,1998,Technical progressive
Ebonylake,10,1997,United Kingdom,,"Avantgarde,Black"
Embryonic Devourment,10,2002,USA,2002,"Brutal death,Grindcore"
Emeth,10,1997,Belgium,,"Death,Brutal death,Technical death"
Eternal Gray,10,2001,Israel,2001,"Technical death,Melodic death"
Fall Of Serenity,10,1998,Germany,,"Gothenburg,Death"
Faster Pussycat,10,1986,USA,1986,"Hard rock,Glam"
Fjorsvartnir,10,2007,Denmark,,Melodic black
Gadget,10,1999,Sweden,1999,Grindcore
Gates Of Winter,10,2003,Canada,,Symphonic progressive
Geezer,10,1985,USA,1985,"Heavy,Industrial heavy"
Ghost Machinery,10,2002,Finland,,Power
Girugämesh,10,2003,Japan,2003,"J rock,Alternative,Power"
Godkiller,10,1994,Monaco,,"Death,Black,Industrial black,Electronic,Metal"
Grave Flowers,10,1993,Sweden,1993,Doom
Guillotine,10,1995,Sweden,,Thrash
Halloween,10,1981,USA,1981,Heavy
Heidra,10,2006,Denmark,,Viking folk
Hollow Haze,10,2003,Italy,2003,Progressive heavy
Irreversible Mechanism,10,2012,Belarus,,"Technical death,Symphonic death"
Ivory Tower,10,1996,Germany,1996,"Progressive,Power"
Kabát,10,1983,Czech Republic,,"Thrash,Melodic heavy,Hard rock"
Lana Lane,10,1995,USA,1995,Progressive
Lay Down Rotten,10,1999,Germany,2015,Death
Light Bearer,10,2010,United Kingdom,2010,"Post-metal,Sludge"
Livsnekad,10,2007,Sweden,2012,"Black,Doom"
Lord Dying,10,2010,USA,2010,Sludge
Luciferian Light Orchestra,10,2014,Sweden,,Psychedelic rock
Ludicra,10,1998,USA,1998,Black
Lunaris,10,1998,Norway,,Progressive black
McAuley Schenker Group,10,1986,Germany,1986,"Hard rock,Glam"
Miasmal,10,2007,Sweden,,Death
Misery Loves Co.,10,1993,Sweden,1993,"Industrial,Alternative"
Monolord,10,2013,Sweden,,"Stoner,Doom"
Mortillery,10,2008,Canada,2008,Thrash
Morton,10,2009,Ukraine,,"Heavy,Power"
Mythological Cold Towers,10,1994,Brazil,1994,Doom
Neuromist,10,2004,Moldova,,Progressive death
Night Of Suicide,10,2005,The Netherlands,2005,Funeral doom
Nine Treasures,10,2011,China,,Folk
Noisem,10,2013,USA,2013,"Death,Thrash"
Nordheim,10,2006,Canada,,"Blackened folk,Melodic death"
Northlane,10,2009,Australia,2009,Progressive metalcore
Opprobrium,10,1999,USA,,"Death,Thrash"
Orakle,10,1994,France,1994,"Atmospheric black,Avantgarde"
Ortega,10,2007,The Netherlands,,"Doom,Sludge"
Outcast,10,1998,France,1998,"Progressive thrash,Progressive death"
Potentiam,10,1997,Iceland,,"Avantgarde black,Blackened death,Suomi"
Prey For Nothing,10,2005,Israel,2005,Melodic death
Razor Of Occam,10,1998,Australia,,"Black,Thrash"
Satura,10,2008,Iran,2008,"Metalcore,Groove thrash"
Scream Silence,10,1998,Germany,,Gothic
Secrets Of The Sky,10,2010,USA,2010,"Black,Doom"
Sight Of Emptiness,10,2005,Costa Rica,,Gothenburg
Syn Ze ?ase Tri,10,2007,Romania,2007,Symphonic black
Tales Of Dark...,10,2001,Serbia,,"Death doom,Gothic"
The Interbeing,10,2006,Denmark,2006,Industrial
The Poodles,10,2005,Sweden,,"Glam,Melodic heavy,Hard rock"
The Resistance,10,2011,Sweden,2011,Death
Thränenkind,10,2007,Germany,,"Black,Post-punk"
Twilight,10,2004,USA,2004,Black
Valient Thorr,10,2000,USA,,Heavy
Waldgeflüster,10,2005,Germany,2005,Black
Waning,10,2007,Sweden,2016,Progressive black
Wind Rose,10,2009,Italy,2009,"Progressive,Power"
Within Y,10,2002,Sweden,,Melodic death
Abandoned,9,1999,Germany,1999,Thrash
Abidetherein,9,2010,Syria,,"Black,Folk"
Abscess,9,1994,USA,1994,Death
Acid Reign,9,1985,United Kingdom,,Thrash
Afgrund,9,2006,Sweden,2006,"Grindcore,Crust punk"
Alpha Tiger,9,2007,Germany,,"Thrash,Power"
Anup Sastry,9,2012,USA,2012,"Progressive,Djent,Instrumental"
Arbor,9,2011,USA,,"Doom,Folk,Progressive"
Arrow Haze,9,2011,Belgium,2011,Hard rock
Arsafes,9,2009,Russia,,"Extreme progressive,Industrial"
As You Drown,9,2001,Sweden,2001,"Death,Deathcore"
Bare Infinity,9,2003,Greece,,Symphonic power
Beneath,9,2007,Iceland,2007,Technical death
Cadavrul,9,2005,Romania,,Death
Cangaço,9,2010,Brazil,2010,Progressive death
Cans,9,2003,Sweden,,Heavy
Cardiant,9,2000,Finland,2000,Power
Carnophage,9,2006,Turkey,,"Technical death,Brutal death"
Catharsis,9,1996,Russia,1996,"Doom,Neoclassical power"
Celestial Season,9,1991,The Netherlands,,"Death,Doom,Stoner"
Chain Reaction,9,2002,Poland,2002,Groove thrash
Chris Caffery,9,2003,USA,,Progressive power
Confessor,9,1986,USA,1986,Doom
Crown,9,2011,France,,"Doom,Sludge"
Diminished,9,2005,USA,2005,"Brutal death,Grindcore"
Dirge Within,9,2007,USA,2013,"Thrash,Metalcore"
Discordance Axis,9,1992,USA,1992,Grindcore
Divlje Jagode,9,1976,"Bosnia and Herzegovina, Croatia",,"Heavy,Hard rock"
Domovoyd,9,2010,Finland,2010,Psychedelic stoner
Dotma,9,2005,Finland,,Symphonic power
Drautran,9,1996,Germany,1996,Black
Ebony Ark,9,2002,Spain,,"Power,Progressive"
Echoterra,9,2007,USA,2007,Symphonic
Ecnephias,9,1996,Italy,,"Blackened death,Doom,Gothic death"
Eden Circus,9,2010,Germany,2010,"Alternative,Progressive,Post-metal"
Emir Hot,9,2007,Bosnia and Herzegovina,,Progressive
Enthrallment,9,1998,Bulgaria,1998,Brutal death
Eudaimony,9,2007,Germany,,"Post-metal,Black"
Evil Invaders,9,2007,Belgium,2007,"Speed,Thrash"
Exsecratus,9,2004,Finland,2013,"Melodic death,Gothic"
Fogalord,9,2007,Italy,2007,"Power,Symphonic"
Graves At Sea,9,2002,USA,,"Doom,Sludge"
Heir Apparent,9,1983,USA,1983,Progressive
Hevisaurus,9,2009,Finland,,"Heavy,Power"
Hjarnidaudi,9,2005,Norway,2005,Drone doom
Hope For The Dying,9,2006,USA,,Progressive death
Horde,9,1994,Australia,1994,Black
Human Mincer,9,1996,Spain,,Brutal death
Icon & The Black Roses,9,1999,Portugal,1999,Gothic
Illuminandi,9,1998,Poland,,Gothic folk
Inner Sanctum,9,2006,India,2006,"Death,Thrash"
Innosense,9,2005,Greece,,Melodic progressive
Iris,9,1977,Romania,1977,Hard rock
Japanische Kampfhörspiele,9,1998,Germany,,Grindcore
Jucifer,9,1993,USA,1993,"Alternative rock,Sludge,Alternative,Noise"
Khthoniik Cerviiks,9,2013,Germany,,"Black,Death"
Latitudes,9,2006,United Kingdom,2006,"Post-metal,Sludge"
Los Random,9,2009,Argentina,,"Progressive,Avantgarde"
Loss (USA),9,2003,USA,2003,Funeral doom
Mastercastle,9,2008,Italy,,Heavy
Memory Garden,9,1992,Sweden,1992,"Heavy,Doom"
Moby Dick,9,1980,Hungary,,Thrash
Moonlight Agony,9,1999,Sweden,1999,Power
Mordred,9,1984,USA,,"Thrash,Funk rock"
Mortals,9,2009,USA,2009,"Sludge,Hardcore,Blackened sludge,Punk"
Naðra,9,2008,Iceland,,Black
Narrow House,9,2008,Ukraine,2008,"Funeral doom,Doom"
Nemertines,9,2009,Russia,,"Progressive math,Djent"
Nhor,9,2009,United Kingdom,2009,"Atmospheric black,Doom,Ambient,Folk"
Nucleus Torn,9,1997,Switzerland,,"Alternative,Neofolk"
Oak Pantheon,9,2011,USA,2011,"Melodic black,Post-metal"
Oracles,9,2014,Belgium,,"Melodic death,Symphonic"
Ordinance,9,2009,USA,2009,"Progressive death,Technical death"
Paganizer,9,1998,Sweden,,Death
Pandemia,9,1995,Czech Republic,1995,Death
Pantheon I,9,2002,Norway,,Black
Pantommind,9,1993,Bulgaria,1993,Progressive
Rebel Meets Rebel,9,1999,USA,2004,"Heavy,Country"
Ribspreader,9,2002,Sweden,2002,Death
Sacred Oath,9,1985,USA,,"Us power,Heavy"
Samsara Blues Experiment,9,2007,Germany,2007,Stoner
Satyrian,9,2004,The Netherlands,,Gothic
Savn,9,2013,Norway,2013,Symphonic gothic
Sole Remedy,9,1998,Finland,,Atmospheric progressive
Sorcerer,9,1988,Sweden,1988,Epic doom
Sortilège,9,1981,France,1986,Heavy
Soulitude,9,2006,Spain,2006,Power
Stille Volk,9,1994,France,,Medieval folk
Subversion,9,2008,United Kingdom,2008,"Melodic death,Symphonic,Djent"
Success Will Write Apocalypse Across The Sky,9,2006,USA,,Deathgrind
Taak,9,2005,Estonia,2005,Doom
Terhen,9,2004,Finland,,Atmospheric doom
The Bereaved,9,1998,Sweden,1998,Gothenburg
The Crest,9,1996,Norway,2010,"Gothic,Gothic rock"
The Graviators,9,2009,Sweden,2009,"Stoner,Doom"
Thee Orakle,9,2004,Portugal,2013,"Progressive death,Gothic"
Timeghoul,9,1987,USA,1987,Progressive death
Uada,9,2014,USA,,Black
Vengeful,9,2003,Canada,2003,Technical death
Vermin Womb,9,2014,USA,,"Death,Grindcore"
Victory,9,1984,Germany,1984,Heavy
Visigoth,9,2010,USA,,"Heavy,Power"
Winterhymn,9,2010,USA,2010,Folk
Aberrant Vascular,8,2003,Finland,,"Avantgarde,Symphonic"
Acacia,8,2012,Sweden,2012,"Black,Doom"
Advent Of Bedlam,8,2009,Costa Rica,,"Melodic death,Death"
Age Of Taurus,8,2009,United Kingdom,2009,Doom
Agrimonia,8,2005,Sweden,,"Post-metal,Sludge,Crust punk"
Akroma,8,2003,France,2003,"Progressive black,Symphonic black"
Aldious,8,2008,Japan,,Power
Almyrkvi,8,2014,Iceland,2014,Black
Another Messiah,8,2003,The Netherlands,2009,"Post-metal,Doom"
Apostasy,8,2000,Sweden,2000,Black
Arida Vortex,8,1998,Russia,,Power
Asylum Pyre,8,2003,France,2003,"Progressive,Power"
Bane Of Winterstorm,8,2009,Australia,,Symphonic power
Below The Sun,8,2012,Russia,2012,Funeral doom
Bestia,8,2000,Estonia,,"Blackened death,Pagan black"
Black Fate,8,1990,Greece,1990,"Power,Progressive"
Born From Pain,8,1997,The Netherlands,,"Hardcore,Metalcore"
Britny Fox,8,1986,USA,1986,"Hard rock,Glam"
Cenotaph,8,1989,Mexico,2002,Death
Ceremonial Perfection,8,2007,Estonia,2007,Melodic death
Clandestine Blaze,8,1998,Finland,,Black
Consciousness Removal Project,8,2004,Finland,2004,Post-metal
Coram Lethe,8,1999,Italy,,Melodic death
Crimson Swan,8,2010,Germany,2010,"Gothic doom,Death doom"
Crossfire,8,1998,Turkey,,"Power,Thrash"
Crypt Sermon,8,2013,USA,2013,Doom
Dagor Dagorath,8,2003,Israel,,"Symphonic black,Death"
Dark Sarah,8,2012,Finland,2012,"Gothic,Symphonic"
Darkend,8,2006,Italy,,Symphonic black
Deathbound,8,1995,Finland,1995,"Death,Grindcore"
Deivos,8,1997,Poland,,Death
Dephosphorus,8,2008,Greece,2008,"Blackened death,Grindcore"
Descend Into Despair,8,2010,Romania,,Funeral doom
Destrose,8,2005,Japan,2005,Heavy
Destructor,8,1984,USA,,"Us power,Thrash"
Devathorn,8,2002,Greece,2002,Black
Diskord,8,1999,Norway,,"Progressive death,Technical death"
Dragon Guardian,8,2006,Japan,2006,Symphonic power
Drone,8,2004,Germany,,Nu thrash
Dusk,8,1993,USA,1993,Death doom
E-an-na,8,2014,Romania,,Folk
Enid,8,1997,Germany,1997,Symphonic black
Ensoph,8,1997,Italy,,"Avantgarde,Gothic"
Epizod,8,1988,Bulgaria,1988,Heavy
Evenfall,8,1997,Italy,,Gothic
Fairytale Abuse,8,1995,Denmark,1995,Melodic black
Fear Of God,8,1989,USA,1996,Thrash
Fit For An Autopsy,8,2008,USA,2008,Deathcore
Fleshgore,8,2000,Ukraine,,Brutal death
Full Of Hell,8,2009,USA,2009,"Grindcore,Hardcore,Punk"
Gallows End,8,2007,Sweden,,Heavy
Gaza,8,2004,USA,2004,Grindcore
Gothmog,8,2005,Spain,2012,"Melodic black,Symphonic black"
Greymachine,8,2009,United Kingdom,2009,"Experimental industrial,Avantgarde"
Hacktivist,8,2011,United Kingdom,,"Nu,Djent,Rap"
Hansen & Friends,8,2016,Germany,2016,"Heavy,Power"
Heliosaga,8,2010,USA,,Symphonic power
Hellbringer,8,2010,Australia,2010,"Thrash,Speed"
Hellish Crossfire,8,2002,Germany,,Blackened thrash
Helms Alee,8,2007,USA,2007,"Sludge,Noise rock,Post-hardcore"
Horisont,8,2006,Sweden,,Hard rock
I Am I,8,2012,United Kingdom,2012,"Heavy,Power"
Imagika,8,1993,USA,2011,"Thrash,Us power"
Imperial Crystalline Entombment,8,2003,USA,2003,Black
Infected Rain,8,2008,Moldova,,Nu
Inverloch,8,2011,Australia,2011,Death doom
Invocator,8,1986,Denmark,,"Speed,Technical thrash"
Jack Frost,8,1989,Austria,1989,"Doom,Gothic doom"
Kamijo,8,2013,Japan,,"Symphonic power,J rock"
Karybdis,8,2009,United Kingdom,2009,"Melodic death,Thrash"
Kill The Client,8,2002,USA,,Grindcore
Kingfisher Sky,8,2001,The Netherlands,2001,"Gothic,Progressive rock"
Lyria,8,2012,Brazil,,"Symphonic,Alternative"
Lyzanxia,8,1996,France,1996,Thrash
Manimal,8,2001,Sweden,,Power
Mares Of Thrace,8,2009,Canada,2009,"Sludge,Doom"
Marriages,8,2011,USA,,Alternative
Martyrdöd,8,2001,Sweden,2001,"Crust punk,D-beat"
Masacre (COL),8,1988,Colombia,,Death
May Result,8,1995,Serbia,1995,Black
Melted Space,8,2007,France,,"Symphonic,Ambient,Neoclassical"
Mirzadeh,8,2000,Finland,2000,Melodic black
Moss,8,2000,United Kingdom,,"Drone doom,Doom,Sludge"
My Lament,8,2002,Belgium,2002,"Gothic doom,Death doom"
Nachtgeschrei,8,2006,Germany,,Folk
Natan,8,2002,Belgium,2002,Pagan black
Neglected Fields,8,1995,Latvia,,Technical death
Nehëmah,8,1992,France,1992,Black
Oath To Vanquish,8,2001,Lebanon,,"Black,Death"
Obsidian Gate,8,1994,Germany,1994,Symphonic black
Phazm,8,2003,France,,"Death ',N',Roll"
Place Of Skulls,8,2000,USA,2000,Doom
Plague Widow,8,2011,USA,,Deathgrind
Platitude,8,1995,Sweden,1995,Neoclassical power
Primitive Graven Image,8,2006,United Kingdom,,Black
Putridity,8,2005,Italy,2005,Brutal death
Ravage,8,1995,USA,,Heavy
Rebaelliun,8,1998,Brazil,1998,Death
Recueil Morbide,8,2000,France,,Brutal death
Red Descending,8,2003,Australia,2003,Melodic death
Resurrected,8,1993,Germany,,Brutal death
Ross The Boss,8,2006,USA,2006,"Heavy,Us power"
S.D.I.,8,1986,Germany,,Speed
Sannhet,8,2010,USA,2010,Experimental black
Sarissa,8,1985,Greece,,"Heavy,Power,Progressive"
Sinmara,8,2008,Iceland,2008,Black
Sister,8,2006,Sweden,,Glam
Slugathor,8,1999,Finland,1999,Death
Slumpark Correctional,8,2003,Syria,,"Death,Thrash"
Sorcier Des Glaces,8,1997,Canada,1997,Black
Southern Cross,8,2001,Canada,,"Progressive,Progressive power"
Space Eater,8,2004,Serbia,2004,Thrash
Spidkilz,8,2010,Italy,,"Speed,Heavy,Thrash"
Spirit Caravan,8,1996,USA,1996,"Doom,Stoner"
Stabat Mater,8,2001,Finland,,Funeral doom
Tantara,8,2009,Norway,2009,Thrash
Target,8,1986,Belgium,1990,Progressive thrash
Tau Cross,8,2014,United Kingdom,2014,"Heavy,Crust,Punk"
Thaw,8,2010,Poland,,"Experimental black,Ambient noise"
The Final Harvest,8,2007,Finland,2007,"Thrash,Melodic death"
The Kindred,8,2013,Canada,,Progressive
The Neologist,8,2009,USA,2009,Melodic death
The Oath,8,2012,Germany,2014,"Doom,Hard rock"
The Secret,8,2003,Italy,2003,"Black,Grindcore,Metalcore"
The Wounded Kings,8,2005,United Kingdom,2016,Doom
The Zenith Passage,8,2012,USA,2012,Technical death
Thrashless,8,2010,Estonia,,Thrash
Twisted Tower Dire,8,1995,USA,1995,Us power
Unseen Terror,8,1986,United Kingdom,1990,"Death,Thrash,Grindcore"
Urkraft,8,1995,Denmark,1995,"Melodic death,Thrash"
VI,8,2007,France,,Black
Vola,8,2005,Denmark,2005,"Djent ,Progressive,Progressive rock"
Volahn,8,2003,USA,,Black
Volturyon,8,2005,Sweden,2005,Death
Vorum,8,2006,Finland,,Death
Way To End,8,2006,France,2006,Avantgarde black
White Empress,8,2013,USA,,Extreme symphonic
Winterage,8,2008,Italy,2008,"Power,Symphonic"
Wolfbrigade,8,1995,Sweden,,Crust punk
X-Panda,8,2009,Estonia,2009,"Progressive,Jazz fusion"
Young And In The Way,8,2009,USA,,"Black,Crust,Punk"
Zandelle,8,1996,USA,1996,"Heavy,Power"
Zuul Fx,8,2003,France,,"Death,Thrash"
?,7,2012,Iceland,2012,"Depressive black,Doom"
0 X í S T,7,2008,Finland,2016,Death doom
7th Reign,7,2005,Canada,2005,Progressive power
A Sense Of Gravity,7,2011,USA,,Progressive math
Abonos,7,1999,Serbia,1999,Gothic
Abused Majesty,7,1998,Poland,,"Symphonic black,Death"
Adastreia,7,2004,United Kingdom,2004,"Gothic,Symphonic"
ADX,7,1982,France,,Speed
Aegaeon,7,2008,USA,2008,Deathcore
Aethyr,7,2014,Spain,,"Melodic death,Folk"
After All,7,1987,Belgium,1987,Thrash
Ajdath,7,1995,Jordan,,Death
Alister,7,1999,Serbia,1999,"Thrash,Heavy"
Angeldark,7,2007,Spain,,"Gothic,Symphonic"
Anthropia,7,2003,France,2003,Progressive
Archivist,7,2015,,,"Atmospheric black,Post-metal"
Ariadna Project,7,1999,Argentina,1999,Power
Asgaard,7,1994,Poland,,Experimental black
Ashbringer,7,2013,USA,2013,Atmospheric black
Astral Sleep,7,2004,Finland,,"Death,Atmospheric doom"
Atomikylä,7,2011,Finland,2011,"Psychedelic doom,Drone"
Atra Vetosus,7,2011,Australia,,Melodic black
Bakos Attila,7,2012,Hungary,2012,Progressive
Bast,7,2008,United Kingdom,,"Black,Doom,Sludge"
Beatrik,7,1998,Italy,1998,"Black,Doom"
Below,7,2012,Sweden,,Epic doom
Beltaine,7,1996,Czech Republic,1996,Pagan folk
Black Moth,7,2010,United Kingdom,,"Stoner rock,Doom,Stoner"
Black Space Riders,7,2008,Germany,2008,"Progressive,Stoner"
Bone Gnawer,7,2009,Sweden,2015,Death
Bosse-De-Nage,7,2006,USA,2006,Black
Brown Jenkins,7,2006,USA,2009,"Black,Doom"
Burning Circle,7,2006,Serbia,2006,Progressive
Celtachor,7,2007,Ireland,,"Black,Celtic folk"
Civilization One,7,2006,Germany,2006,Power
Colosso,7,2011,Portugal,,Death
Comeback Kid,7,2000,Canada,2000,"Hardcore,Metalcore"
Contradiction,7,1989,Germany,,Thrash
Corporation 187,7,1995,Sweden,1995,"Melodic death,Thrash"
Corpsefucking Art,7,1993,Italy,,Brutal death
Crest Of Darkness,7,1995,Norway,1995,Black
Crystalmoors,7,1995,Spain,,"Celtic black,Pagan black"
Cynthesis,7,2010,USA,2010,Progressive
Cytotoxin,7,2010,Germany,,Brutal death
Darkflight,7,2000,Bulgaria,2000,"Black,Doom"
Dawn Of Silence,7,2000,Sweden,,Melodic heavy
Daylight Misery,7,2008,Greece,2008,"Gothic,Death doom"
Deadsquad,7,2006,Indonesia,,"Brutal death,Technical death"
Deep Mountains,7,2009,China,2009,"Atmospheric black,Folk"
Devil,7,2009,Norway,,"Doom,Heavy"
Divinity Destroyed,7,1999,USA,1999,Progressive
Dodecahedron,7,2006,The Netherlands,,Black
Dodsferd,7,2001,Greece,2001,Black
Drakkar,7,1995,Italy,,Power
Drakum,7,2009,Spain,2009,Folk
Draugr,7,2002,Italy,2013,"Melodic death,Pagan black"
Dreadful Shadows,7,1993,Germany,1993,Gothic
Edge Of Serenity,7,2007,The Netherlands,,Melodic death
Elixir,7,1983,United Kingdom,1983,"New,Wave,Of british heavy,Heavy"
Elizium,7,1991,The Netherlands,,"Doom,Gothic"
Enemy Of Reality,7,2013,Greece,2013,Symphonic progressive
Eternal Idol,7,2016,Italy,,"Power,Symphonic,Heavy,Progressive"
Fistula,7,1998,USA,1998,"Sludge,Drone doom"
Flagitious Idiosyncrasy In The Dilapidation,7,2001,Japan,,Grindcore
Forgive Me,7,2009,Jordan,2009,Depressive black
Fragile Vastness,7,2000,Greece,,"Progressive,Progressive rock"
Gnostic,7,2005,USA,2005,"Technical death,Technical thrash"
Graveyard Dirt,7,1994,Ireland,,"Death,Doom"
Gridlink,7,2004,USA,2004,Technical grindcore
Harlott,7,2006,Australia,,Thrash
Heaven Grey,7,1993,Latvia,1993,Gothic doom
Hel,7,1994,Germany,2012,Pagan folk
Ignivomous,7,2006,Australia,2006,Death
Illuminata,7,2006,Austria,,"Melodic power,Gothic"
Immensity,7,2009,Greece,2009,Atmospheric doom
Infernal Poetry,7,1996,Italy,2014,"Experimental death,Progressive death"
Insanity,7,1985,USA,1985,Death
Interitus,7,1993,Czech Republic,,Symphonic
Isvind,7,1993,Norway,1993,Black
J.B.O.,7,1989,Germany,,"Industrial,Comedy rock"
Jacobs Dream,7,2000,USA,2000,"Us power,Progressive"
Jig-Ai,7,2005,Czech Republic,,"Death,Grindcore"
Kadavar,7,2007,Italy,2007,Death
KerecsenSólyom,7,2004,Hungary,,Symphonic folk
Lapis Lazuli,7,2005,Sweden,2005,Symphonic
Legend,7,1978,USA,1979,"Heavy,Progressive rock"
Litrosis,7,2010,Greece,2010,"Symphonic black,Extreme power"
Logar's Diary,7,1998,Germany,,Power
Luctus,7,2001,Lithuania,2001,"Black,Thrash"
Lumus,7,2009,USA,,Symphonic power
Lust Of Decay,7,1996,USA,1996,"Thrash,Brutal death"
Lvcifyre,7,2007,United Kingdom,,"Black,Death"
Magnitude 9,7,1998,USA,1998,"Progressive,Power"
Malice,7,1980,USA,,"Us heavy,Power"
Mastic Scum,7,1992,Austria,1992,Grindcore
Messiah's Kiss,7,2001,Germany,,Heavy
Midnight Priest,7,2008,Portugal,2008,Heavy
Moon,7,2007,Australia,,Black
Morost,7,2010,Slovenia,2010,Progressive death
Mortal Decay,7,1991,USA,,Brutal death
Nibiru,7,2012,Italy,2012,"Psychedelic sludge,Drone"
Nydvind,7,2000,France,,Pagan black
Odyssea,7,2004,Italy,2004,"Heavy,Power"
Operatika Element,7,2002,USA,,Symphonic power
Palms,7,2011,USA,2011,"Post-rock,Post-metal"
Posthumous Blasphemer,7,2001,Belarus,,Technical death
Poverty's No Crime,7,1991,Germany,1991,Progressive
Project: Failing Flesh,7,2001,USA,,"Industrial thrash,Avantgarde"
Putrevore,7,2004,Spain,2004,Death
Quadrivium,7,2005,Norway,,"Avantgarde,Black"
RandomWalk,7,2005,Greece,2005,"Gothic,Metalcore"
Rorcal,7,2006,Switzerland,,"Doom,Sludge,Hardcore,Black"
Rumpelstiltskin Grinder,7,2002,USA,2002,Technical thrash
Sanctium,7,2007,Australia,,"Melodic death,Progressive"
Seven Thorns,7,1998,Denmark,1998,Power
Shroud Of Bereavement,7,1996,USA,,"Death doom,Neoclassical"
Silent Kingdom,7,1999,Bosnia and Herzegovina,1999,"Melodic death,Extreme folk"
Silent Planet,7,2010,USA,,Metalcore
Slartibartfass,7,2005,Germany,2005,Viking folk
So Much For Nothing,7,2007,Norway,,"Avantgarde,Depressive black"
Sorcery (Swe),7,1986,Sweden,1986,Death
Soulburn,7,1996,The Netherlands,,Death
Spiders,7,2010,Sweden,2010,"Hard rock,Heavy"
Stick To Your Guns,7,2003,USA,,"Metalcore,Hardcore"
Strydegor,7,2005,Germany,2005,Viking black
Su Ta Gar,7,1987,Spain,,Heavy
Subhuman,7,2001,Italy,2001,"Death,Thrash"
Subliminal Fear,7,2001,Italy,,Melodic death
Sycronomica,7,1996,Germany,1996,Melodic black
The Dogma,7,1999,Italy,,Symphonic power
The Drowning,7,2004,United Kingdom,2004,"Doom,Death"
The Great Deceiver,7,2000,Sweden,,Alternative
The Moth Gatherer,7,2009,Sweden,2009,"Post-metal,Sludge"
The Soulless,7,2010,United Kingdom,,Melodic metalcore
The Storyteller,7,1995,Sweden,1995,"Heavy,Power"
The Wandering Midget,7,2005,Finland,,Doom
Thirdmoon,7,1994,Austria,1994,Death
Thor,7,1973,Canada,,"Hard rock,Heavy,Power"
